ano,mun,uf,codmun,matriculas_6ano_9ano,matriculas_EM
2007,bananal,SP,3504909,825,460
2007,bananeiras,PB,2501500,2131,1735
2007,bandeira,MG,3105202,406,146
2007,bandeira do sul,MG,3105301,310,191
2007,bandeirante,SC,4202081,329,125
2007,bandeirantes,MS,5001508,648,247
2007,bandeirantes,PR,4102406,2717,1758
2007,bandeirantes do tocantins,TO,1703057,214,166
2007,bannach,PA,1501253,285,97
2007,banzaê,BA,2902658,1622,840
2007,barão,RS,4301651,354,281
2007,barão de antonina,SP,3505005,224,143
2007,barão de cocais,MG,3105400,2344,1461
2007,barão de cotegipe,RS,4301701,469,184
2007,barão de grajaú,MA,2101509,1479,767
2007,barão de melgaço,MT,5101605,490,289
2007,barão de monte alto,MG,3105509,410,210
2007,barão do triunfo,RS,4301750,485,291
2007,baraúna,PB,2501534,486,202
2007,baraúna,RN,2401453,2137,807
2007,barbacena,MG,3105608,9425,6252
2007,barbalha,CE,2301901,4764,2502
2007,barbosa,SP,3505104,525,209
2007,barbosa ferraz,PR,4102505,1096,704
2007,barcarena,PA,1501303,8060,6505
2007,barcelona,RN,2401503,302,140
2007,barcelos,AM,1300409,1389,402
2007,bariri,SP,3505203,2010,1214
2007,barra,BA,2902708,6035,2094
2007,barra bonita,SC,4202099,215,112
2007,barra bonita,SP,3505302,2189,1692
2007,barra d'alcântara,PI,2201176,346,171
2007,barra da estiva,BA,2902807,1575,1433
2007,barra de guabiraba,PE,2601300,1086,557
2007,barra de santa rosa,PB,2501609,1136,440
2007,barra de santana,PB,2501575,908,369
2007,barra de santo antônio,AL,2700508,1424,403
2007,barra de são francisco,ES,3200904,3003,1587
2007,barra de são miguel,AL,2700607,806,263
2007,barra de são miguel,PB,2501708,356,193
2007,barra do bugres,MT,5101704,2855,1696
2007,barra do chapéu,SP,3505351,463,259
2007,barra do choça,BA,2902906,3416,1477
2007,barra do corda,MA,2101608,8636,3695
2007,barra do garças,MT,5101803,4844,3759
2007,barra do guarita,RS,4301859,249,115
2007,barra do jacaré,PR,4102703,207,175
2007,barra do mendes,BA,2903003,1364,778
2007,barra do ouro,TO,1703073,396,229
2007,barra do piraí,RJ,3300308,5031,3332
2007,barra do quaraí,RS,4301875,360,215
2007,barra do ribeiro,RS,4301909,867,442
2007,barra do rio azul,RS,4301925,136,78
2007,barra do rocha,BA,2903102,597,417
2007,barra do turvo,SP,3505401,800,381
2007,barra dos coqueiros,SE,2800605,1520,562
2007,barra funda,RS,4301958,161,130
2007,barra longa,MG,3105707,505,167
2007,barra mansa,RJ,3300407,10661,7135
2007,barra velha,SC,4202107,1532,707
2007,barracão,PR,4102604,885,452
2007,barracão,RS,4301800,459,200
2007,barras,PI,2201200,3519,2306
2007,barreira,CE,2301950,1930,949
2007,barreiras,BA,2903201,10715,7939
2007,barreiras do piauí,PI,2201309,317,159
2007,barreirinha,AM,1300508,2523,1241
2007,barreirinhas,MA,2101707,6109,2005
2007,barreiros,PE,2601409,3650,2887
2007,barretos,SP,3505500,6913,5047
